Park,Park Type,Park Site Score,PSA,Supervisor District
10th Avenue-Clement Mini Park,Mini Park,88.2,PSA 1,1
24th Street-York Mini Park,Mini Park,89.4,PSA 6,9
Adam Rogers Park,Neighborhood Park or Playground,88.4,PSA 3,10
Alamo Square,Neighborhood Park or Playground,85,PSA 2,5
Alice Chalmers Playground,Neighborhood Park or Playground,63.1,PSA 3,11
Alice Marble Tennis Courts,Neighborhood Park or Playground,93.9,PSA 1,2
Alioto Mini Park,Mini Park,90.6,PSA 6,9
Allyne Park,Neighborhood Park or Playground,77.7,PSA 1,2
Alta Plaza,Neighborhood Park or Playground,83.9,PSA 1,2
Angelo J. Rossi Playground,Neighborhood Park or Playground,89,PSA 1,1
Aptos Playground,Neighborhood Park or Playground,87.5,PSA 4,7
Argonne Playground,Neighborhood Park or Playground,90,PSA 1,1
Balboa Park,Neighborhood Park or Playground,88.7,PSA 5,7
Bay View Playground,Neighborhood Park or Playground,58.3,PSA 3,10
Beideman-O'Farrell Mini Park,Mini Park,89.7,PSA 2,5
Bernal Heights Recreation Center,Neighborhood Park or Playground,84.8,PSA 6,9
Betty Ann Ong Chinese Recreation Center,Neighborhood Park or Playground,98,PSA 1,3
Broadway Tunnel West Mini Park,Mini Park,80.4,PSA 1,3
Brooks Park,Neighborhood Park or Playground,74.8,PSA 4,11
Buchanan Street Mall,Neighborhood Park or Playground,90.1,PSA 2,5
Buena Vista Park,Regional Park,81.6,PSA 5,8
Bush-Broderick Mini Park,Mini Park,94.5,PSA 2,5
Cabrillo Playground,Neighborhood Park or Playground,99,PSA 1,1
Carl Larsen Park,Neighborhood Park or Playground,88.7,PSA 4,4
Cayuga Playground,Neighborhood Park or Playground,88,PSA 3,11
Cayuga-Lamartine Mini Park,Mini Park,73,PSA 5,11
Coleridge Mini Park,Mini Park,94,PSA 6,9
Collis P. Huntington Park,Civic Plaza or Square,85.7,PSA 1,3
Corona Heights,Neighborhood Park or Playground,93.6,PSA 5,8
Coso-Precita Mini Park,Mini Park,86.2,PSA 6,9
Cottage Row Mini Park,Mini Park,93.3,PSA 2,5
Cow Hollow Playground,Neighborhood Park or Playground,89.8,PSA 1,2
Crocker Amazon Playground,Neighborhood Park or Playground,75.2,PSA 3,11
Douglass Playground,Neighborhood Park or Playground,82.8,PSA 5,8
Duboce Park,Neighborhood Park or Playground,85.8,PSA 6,8
Dupont Courts,Neighborhood Park or Playground,77.2,PSA 1,1
Esprit Park,Neighborhood Park or Playground,92.7,PSA 2,10
Eugene Friend Recreation Center,Neighborhood Park or Playground,83.9,PSA 2,6
Eureka Valley Recreation Center,Neighborhood Park or Playground,85.3,PSA 5,8
Excelsior Playground,Neighborhood Park or Playground,76.1,PSA 3,11
Father Alfred E. Boeddeker Park,Neighborhood Park or Playground,98.8,PSA 2,6
Fay Park,Neighborhood Park or Playground,95,PSA 1,3
Fillmore-Turk Mini Park,Mini Park,90.8,PSA 2,5
Franklin Square,Neighborhood Park or Playground,82.9,PSA 2,6
Fulton Playground,Neighborhood Park or Playground,96.8,PSA 1,1
Garfield Square,Neighborhood Park or Playground,81.4,PSA 6,9
George Christopher Playground,Neighborhood Park or Playground,88.2,PSA 5,8
Gilman Playground,Neighborhood Park or Playground,57.3,PSA 3,10
Glen Park,Regional Park,85.4,PSA 5,8
Golden Gate Heights Park,Neighborhood Park or Playground,88.7,PSA 4,7
Golden Gate Park,Regional Park,86.1,GGP,1
Golden Gate-Steiner Mini Park,Mini Park,93.7,PSA 2,5
Grattan Playground,Neighborhood Park or Playground,74.9,PSA 2,5
Hamilton Recreation Center,Neighborhood Park or Playground,90.2,PSA 2,5
Hayes Valley Playground,Neighborhood Park or Playground,95,PSA 2,5
Head-Brotherhood Mini Park,Mini Park,82.6,PSA 4,11
Helen Wills Playground,Neighborhood Park or Playground,87,PSA 1,3
Herz Playground,Regional Park,87,PSA 3,10
Hilltop Park,Neighborhood Park or Playground,79.6,PSA 3,10
Holly Park,Neighborhood Park or Playground,91.2,PSA 6,9
Hyde-Vallejo Mini Park,Mini Park,92.5,PSA 1,3
Ina Coolbrith Park,Mini Park,75.1,PSA 1,3
India Basin Shoreline Park,Neighborhood Park or Playground,78.8,PSA 3,10
J. P. Murphy Playground,Neighborhood Park or Playground,90.3,PSA 4,7
Jackson Playground,Neighborhood Park or Playground,92,PSA 2,10
James Rolph Jr. Playground,Neighborhood Park or Playground,79.4,PSA 6,9
Japantown Peace Plaza,Civic Plaza or Square,85.9,PSA 2,5
Jefferson Square,Neighborhood Park or Playground,81.1,PSA 2,6
Joe Dimaggio North Beach Playground,Neighborhood Park or Playground,78.2,PSA 1,3
John McLaren Park,Regional Park,77.1,PSA 3,10
Joost-Baden Mini Park,Mini Park,91.4,PSA 5,8
Jose Coronado Playground,Neighborhood Park or Playground,81.8,PSA 6,9
Joseph Conrad Mini Park,Mini Park,85.6,PSA 1,3
Joseph L. Alioto Performing Arts Piazza (Civic Center),Civic Plaza or Square,80.6,PSA 2,6
Joseph Lee Recreation Center,Neighborhood Park or Playground,86.3,PSA 3,10
Julius Kahn Playground,Neighborhood Park or Playground,92.6,PSA 1,2
Junipero Serra Playground,Neighborhood Park or Playground,91.1,PSA 4,7
Juri Commons,Mini Park,80.5,PSA 6,9
Justin Herman-Embarcadero Plaza,Civic Plaza or Square,83.7,PSA 1,3
Kelloch Velasco Mini Park,Mini Park,78.2,PSA 3,10
Kid Power Park,Neighborhood Park or Playground,86.2,PSA 6,6
Koshland Park,Neighborhood Park or Playground,86,PSA 2,5
Lafayette Park,Neighborhood Park or Playground,97.5,PSA 1,2
Lake Merced Park,Regional Park,80.9,PSA 4,7
Laurel Hill Playground,Neighborhood Park or Playground,78.5,PSA 1,2
Lessing-Sears Mini Park,Mini Park,75.5,PSA 3,11
Lincoln Park,Regional Park,90,PSA 1,1
Little Hollywood Park,Neighborhood Park or Playground,74.5,PSA 3,10
Louis Sutter Playground At Mclaren Park,Regional Park,80.6,PSA 3,10
Lower Great Highway,Parkway,80.1,PSA 4,1
Margaret S. Hayward Playground,Neighborhood Park or Playground,86.2,PSA 2,6
Maritime Plaza,Civic Plaza or Square,93.4,PSA 1,3
Mccoppin Square,Neighborhood Park or Playground,87.9,PSA 4,4
Mckinley Square,Neighborhood Park or Playground,85,PSA 2,10
Merced Heights Playground,Neighborhood Park or Playground,72.6,PSA 4,11
Michelangelo Playground,Neighborhood Park or Playground,87.4,PSA 1,3
Midtown Terrace Playground,Neighborhood Park or Playground,90.9,PSA 4,7
Minnie & Lovie Ward Playground,Neighborhood Park or Playground,82.1,PSA 4,11
Miraloma Playground,Neighborhood Park or Playground,89.6,PSA 5,7
Mission Dolores Park,Neighborhood Park or Playground,79.5,PSA 6,8
Mission Playground,Neighborhood Park or Playground,87.7,PSA 6,8
Mission Recreation Center,Neighborhood Park or Playground,90.4,PSA 6,9
Moscone Recreation Center,Neighborhood Park or Playground,84.5,PSA 1,2
Mountain Lake Park,Neighborhood Park or Playground,86.6,PSA 1,2
Mt. Olympus,Neighborhood Park or Playground,86.1,PSA 5,8
Mullen-Peralta Mini Park,Mini Park,81.9,PSA 6,9
Muriel Leff Mini Park,Mini Park,95.2,PSA 1,1
Noe Valley Courts,Neighborhood Park or Playground,80.5,PSA 5,8
Page-Laguna Mini Park,Mini Park,89,PSA 2,5
Palace Of Fine Arts,Civic Plaza or Square,88.4,PSA 1,2
Palega Recreation Center,Neighborhood Park or Playground,95.4,PSA 3,9
Palou-Phelps Mini Park,Mini Park,81.8,PSA 3,10
Park Presidio Boulevard,Parkway,61.1,PSA 1,1
Parkside Square,Neighborhood Park or Playground,83.1,PSA 4,4
Parque Ninos Unidos,Neighborhood Park or Playground,83,PSA 6,9
Patricia'S Green,Mini Park,87.2,PSA 2,5
Peixotto Playground,Neighborhood Park or Playground,88.5,PSA 5,8
Pine Lake Park,Regional Park,79.6,PSA 4,4
Portsmouth Square,Neighborhood Park or Playground,87.8,PSA 1,3
Potrero Del Sol Park,Neighborhood Park or Playground,86.8,PSA 6,10
